Group;ALC;SUG;TAC;MARK
1;12.70;1.00;5.10;88.70
1;10.50;2.00;6.00;82.00
1;13.50;1.00;5.00;80.00
1;13.00;1.00;5.80;72.10
1;13.20;2.40;6.80;86.10
1;13.90;5.20;3.00;77.76
1;13.24;1.50;7.90;84.30
1;13.35;1.40;7.80;78.57
1;11.30;1.20;7.90;73.25
1;14.00;1.40;4.10;62.67
1;12.50;1.20;5.60;85.29
1;12.50;1.30;4.10;88.29
1;13.50;0.20;5.20;82.50
1;13.60;1.90;5.10;85.40
1;13.00;2.50;6.60;82.71
1;12.50;2.00;5.20;81.67
1;12.50;2.00;5.20;81.33
1;13.40;1.60;6.90;84.00
1;13.40;3.50;6.70;81.00
1;13.00;1.30;5.40;83.60
1;13.00;2.50;6.60;82.71
